roomA,1508109977.66,400
150.810996616,1008.48461914,40.3257102966,30.5816993713
150.810996617,1008.48461914,40.3257102966,30.5816993713
150.810996618,1008.48461914,40.3257102966,30.5816993713
150.810996618,1008.48461914,40.3257102966,30.5816993713
150.810996618,1008.48461914,40.3257102966,30.5816993713
150.810996618,1008.48486328,40.3257102966,30.5816993713
150.810996619,1008.48486328,40.3257102966,30.5816993713
150.810996619,1008.48486328,40.3257102966,30.5816993713
150.810996619,1008.48486328,40.3257102966,30.5816993713
150.810996619,1008.48486328,40.3257102966,30.5816993713
150.81099662,1008.48486328,40.3257102966,30.5816993713
150.81099662,1008.48486328,40.3257102966,30.5816993713
150.81099662,1008.48486328,40.3257102966,30.5816993713
150.81099662,1008.48486328,40.3257102966,30.5816993713
150.81099662,1008.48486328,40.3257102966,30.5816993713
150.810996621,1008.48486328,40.3257102966,30.5816993713
150.810996621,1008.48486328,40.3257102966,30.5816993713
150.810996621,1008.48486328,40.3257102966,30.5816993713
150.810996621,1008.48486328,40.3257102966,30.5816993713
150.810996622,1008.48486328,40.3257102966,30.5816993713
150.810996622,1008.48486328,40.3257102966,30.6351299286
150.810996622,1008.48486328,38.0911750793,30.6351299286
150.810996622,1008.48535156,38.0911750793,30.6351299286
150.810996623,1008.48535156,38.0911750793,30.6351299286
150.810996623,1008.48535156,38.0911750793,30.6351299286
150.810996623,1008.48535156,38.0911750793,30.6351299286
150.810996623,1008.48535156,38.0911750793,30.6351299286
150.810996624,1008.48535156,38.0911750793,30.6351299286
150.810996624,1008.48535156,38.0911750793,30.6351299286
150.810996624,1008.48535156,38.0911750793,30.6351299286
150.810996624,1008.48535156,38.0911750793,30.6351299286
150.810996625,1008.48535156,38.0911750793,30.6351299286
150.810996625,1008.48535156,38.0911750793,30.6351299286
150.810996625,1008.48535156,38.0911750793,30.6351299286
150.810996625,1008.48535156,38.0911750793,30.6351299286
150.810996625,1008.48535156,38.0911750793,30.6351299286
150.810996626,1008.48535156,38.0911750793,30.6351299286
150.810996626,1008.48535156,38.0911750793,30.6351299286
150.810996626,1008.48535156,38.0911750793,30.6351299286
150.810996626,1008.48535156,38.0911750793,30.6351299286
