roomA,1508110940.09,800
150.811092732,1008.47973633,42.3086967468,30.7063713074
150.811092733,1008.47973633,42.3086967468,30.7063713074
150.811092733,1008.47973633,42.3086967468,30.7063713074
150.811092733,1008.47973633,42.3086967468,30.7063713074
150.811092734,1008.47973633,42.3086967468,30.7063713074
150.811092734,1008.47973633,42.3086967468,30.7063713074
150.811092734,1008.47973633,42.3086967468,30.7063713074
150.811092734,1008.47973633,42.3086967468,30.7063713074
150.811092734,1008.47973633,42.3086967468,30.7063713074
150.811092735,1008.47973633,42.3086967468,30.7063713074
150.811092735,1008.47973633,42.3086967468,30.7063713074
150.811092735,1008.47973633,42.3086967468,30.7063713074
150.811092735,1008.47973633,42.3086967468,30.7063713074
150.811092735,1008.47973633,42.3086967468,30.7063713074
150.811092736,1008.47973633,42.3086967468,30.7063713074
150.811092736,1008.47973633,42.3086967468,30.7063713074
150.811092736,1008.48071289,42.3086967468,30.7063713074
150.811092737,1008.48071289,42.3086967468,30.7063713074
150.811092737,1008.48071289,42.3086967468,30.7063713074
150.811092737,1008.48071289,42.3086967468,30.7063713074
150.811092737,1008.48071289,42.3086967468,30.7063713074
150.811092738,1008.48071289,39.0222320557,30.7063713074
150.811092738,1008.48071289,39.0222320557,30.7063713074
150.811092738,1008.48071289,39.0222320557,30.7063713074
150.811092738,1008.48071289,39.0222320557,30.7063713074
150.811092738,1008.48071289,39.0222320557,30.7063713074
150.811092739,1008.48071289,39.0222320557,30.7063713074
150.811092739,1008.48071289,39.0222320557,30.7063713074
150.811092739,1008.48071289,39.0222320557,30.7063713074
150.811092739,1008.48071289,39.0222320557,30.7063713074
150.81109274,1008.48071289,39.0222320557,30.7063713074
150.81109274,1008.48071289,39.0222320557,30.7063713074
150.81109274,1008.48071289,39.0222320557,30.7063713074
150.81109274,1008.47900391,39.0222320557,30.7063713074
150.811092741,1008.47900391,39.0222320557,30.7063713074
150.811092741,1008.47900391,39.0222320557,30.7063713074
150.811092741,1008.47900391,39.0222320557,30.7063713074
150.811092741,1008.47900391,39.0222320557,30.7063713074
150.811092742,1008.47900391,39.0222320557,30.7063713074
150.811092742,1008.47900391,39.0222320557,30.7063713074
150.811092742,1008.47900391,39.0222320557,30.7063713074
